Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),AccAll,Force
0,-0.14,-0.41,-12.27,0.0,0.0,0.0,0.0,0.0
1,-0.14,-0.42,-12.27,0.001,0.0,0.0,0.001,0.00407115
2,-0.14,-0.42,-12.27,0.0,-0.001,0.001,0.001414213562373095,0.0057574755444552254
3,-0.14,-0.42,-12.27,0.0,0.0,0.0,0.0,0.0
4,-0.14,-0.42,-12.27,0.0,0.0,-0.001,0.001,0.00407115
5,-0.14,-0.42,-12.27,0.001,0.002,0.002,0.0029999999999999996,0.012213449999999999
6,-0.14,-0.42,-12.27,0.0,-0.001,0.0,0.001,0.00407115
7,-0.15,-0.41,-12.27,0.001,0.0,-0.001,0.001414213562373095,0.0057574755444552254
8,-0.15,-0.41,-12.27,0.0,-0.001,-0.001,0.001414213562373095,0.0057574755444552254
9,-0.15,-0.41,-12.27,0.0,0.001,0.0,0.001,0.00407115
10,-0.15,-0.41,-12.27,0.0,0.0,0.001,0.001,0.00407115
11,-0.14,-0.41,-12.27,0.0,0.001,0.0,0.001,0.00407115
12,-0.14,-0.41,-12.27,0.001,0.0,0.0,0.001,0.00407115
13,-0.14,-0.41,-12.27,0.0,0.0,0.0,0.0,0.0
14,-0.14,-0.41,-12.27,0.0,0.001,0.001,0.001414213562373095,0.0057574755444552254
15,-0.13,-0.41,-12.27,0.0,0.0,0.001,0.001,0.00407115
16,-0.14,-0.41,-12.27,0.0,0.0,-0.001,0.001,0.00407115
17,-0.14,-0.41,-12.27,0.0,0.001,0.0,0.001,0.00407115
18,-0.14,-0.41,-12.27,0.0,0.0,0.0,0.0,0.0
19,-0.14,-0.42,-12.27,0.0,0.0,0.0,0.0,0.0
20,-0.14,-0.42,-12.27,0.001,0.0,0.001,0.001414213562373095,0.0057574755444552254
21,-0.14,-0.42,-12.27,0.0,0.0,0.0,0.0,0.0
22,-0.14,-0.42,-12.27,0.0,-0.001,0.002,0.0022360679774997894,0.009103368146598269
23,-0.15,-0.42,-12.27,0.001,0.0,0.0,0.001,0.00407115
24,-0.15,-0.41,-12.27,0.0,-0.001,0.0,0.001,0.00407115
25,-0.15,-0.41,-12.27,0.001,0.0,0.0,0.001,0.00407115
26,-0.15,-0.41,-12.27,0.0,0.0,0.0,0.0,0.0
27,-0.14,-0.41,-12.27,0.0,0.001,0.0,0.001,0.00407115
28,-0.14,-0.41,-12.27,0.001,0.001,0.001,0.0017320508075688774,0.007051438645234035
29,-0.14,-0.42,-12.27,0.0,0.001,0.002,0.0022360679774997894,0.009103368146598269
30,-0.14,-0.41,-12.27,0.0,0.0,0.001,0.001,0.00407115
31,-0.14,-0.41,-12.27,0.0,0.0,0.001,0.001,0.00407115
32,-0.14,-0.41,-12.27,0.0,0.001,0.001,0.001414213562373095,0.0057574755444552254
33,-0.14,-0.41,-12.27,0.0,0.0,-0.001,0.001,0.00407115
34,-0.14,-0.41,-12.27,0.0,0.001,0.0,0.001,0.00407115
35,-0.14,-0.42,-12.27,0.0,0.0,0.0,0.0,0.0
36,-0.14,-0.42,-12.27,0.0,-0.001,0.002,0.0022360679774997894,0.009103368146598269
37,-0.14,-0.42,-12.27,0.001,-0.001,0.0,0.001414213562373095,0.0057574755444552254
38,-0.14,-0.41,-12.27,0.001,-0.001,0.0,0.001414213562373095,0.0057574755444552254
39,-0.15,-0.41,-12.27,0.0,-0.001,0.001,0.001414213562373095,0.0057574755444552254
40,-0.15,-0.41,-12.27,0.0,0.0,-0.002,0.002,0.0081423
41,-0.15,-0.41,-12.27,0.002,0.002,0.001,0.003,0.01221345
42,-0.14,-0.41,-12.27,-0.001,0.001,0.0,0.001414213562373095,0.0057574755444552254
43,-0.14,-0.41,-12.27,0.0,0.0,0.0,0.0,0.0
44,-0.14,-0.41,-12.27,0.0,0.0,0.0,0.0,0.0
45,-0.14,-0.41,-12.27,0.0,0.001,0.0,0.001,0.00407115
46,-0.14,-0.41,-12.27,0.0,0.0,0.001,0.001,0.00407115
47,-0.14,-0.41,-12.27,0.0,0.0,0.001,0.001,0.00407115
48,-0.13,-0.42,-12.27,0.0,0.001,0.001,0.001414213562373095,0.0057574755444552254
49,-0.13,-0.42,-12.27,-0.002,0.0,0.0,0.002,0.0081423
50,-0.13,-0.42,-12.27,-0.001,0.0,0.001,0.001414213562373095,0.0057574755444552254
51,-0.13,-0.42,-12.27,-0.001,0.0,0.002,0.0022360679774997894,0.009103368146598269
52,-0.13,-0.42,-12.27,0.0,0.0,0.001,0.001,0.00407115
53,-0.14,-0.42,-12.27,0.001,0.0,0.0,0.001,0.00407115
54,-0.14,-0.42,-12.27,0.001,0.0,0.001,0.001414213562373095,0.0057574755444552254
55,-0.14,-0.42,-12.27,0.0,0.0,0.001,0.001,0.00407115
56,-0.14,-0.42,-12.27,0.0,-0.001,0.001,0.001414213562373095,0.0057574755444552254
57,-0.14,-0.42,-12.27,0.0,0.0,0.0,0.0,0.0
58,-0.14,-0.42,-12.27,-0.001,-0.001,0.001,0.0017320508075688774,0.007051438645234035
59,-0.14,-0.42,-12.27,0.0,0.0,0.0,0.0,0.0
60,-0.14,-0.42,-12.27,0.002,0.001,0.0,0.0022360679774997894,0.009103368146598269
61,-0.14,-0.42,-12.27,0.0,0.0,0.0,0.0,0.0
62,-0.14,-0.42,-12.27,0.001,0.0,0.0,0.001,0.00407115
63,-0.14,-0.42,-12.27,-0.002,0.001,0.0,0.0022360679774997894,0.009103368146598269
64,-0.13,-0.42,-12.27,-0.001,0.001,-0.001,0.0017320508075688774,0.007051438645234035
65,-0.13,-0.43,-12.27,0.0,0.0,0.0,0.0,0.0
66,-0.13,-0.43,-12.27,-0.001,0.0,0.0,0.001,0.00407115
67,-0.13,-0.43,-12.27,0.0,-0.001,0.002,0.0022360679774997894,0.009103368146598269
68,-0.13,-0.42,-12.27,0.001,0.0,0.0,0.001,0.00407115
69,-0.13,-0.42,-12.27,0.0,0.0,0.002,0.002,0.0081423
70,-0.14,-0.42,-12.27,0.0,0.001,0.001,0.001414213562373095,0.0057574755444552254
71,-0.14,-0.42,-12.27,0.0,0.001,0.0,0.001,0.00407115
72,-0.14,-0.42,-12.27,0.0,0.0,0.002,0.002,0.0081423
73,-0.14,-0.42,-12.27,0.0,0.0,0.0,0.0,0.0
74,-0.14,-0.42,-12.27,0.0,0.001,0.0,0.001,0.00407115
75,-0.14,-0.42,-12.27,0.0,0.0,0.0,0.0,0.0
76,-0.14,-0.42,-12.27,0.001,0.0,0.001,0.001414213562373095,0.0057574755444552254
77,-0.14,-0.42,-12.27,-0.001,0.001,0.0,0.001414213562373095,0.0057574755444552254
78,-0.14,-0.42,-12.27,0.0,0.001,0.0,0.001,0.00407115
79,-0.14,-0.42,-12.27,0.0,0.001,0.002,0.0022360679774997894,0.009103368146598269
80,-0.13,-0.42,-12.27,0.0,0.0,0.0,0.0,0.0
81,-0.13,-0.42,-12.27,-0.001,0.0,0.0,0.001,0.00407115
82,-0.13,-0.42,-12.27,0.0,0.0,0.001,0.001,0.00407115
83,-0.13,-0.42,-12.27,0.001,0.001,0.002,0.0024494897427831783,0.009972240166331737
84,-0.13,-0.42,-12.27,0.0,0.0,0.0,0.0,0.0
85,-0.13,-0.42,-12.27,0.0,-0.001,0.0,0.001,0.00407115
86,-0.13,-0.41,-12.27,0.001,0.0,0.0,0.001,0.00407115
87,-0.13,-0.41,-12.27,0.0,0.0,0.003,0.003,0.01221345
88,-0.13,-0.42,-12.27,0.0,0.0,0.002,0.002,0.0081423
89,-0.14,-0.42,-12.27,0.0,0.0,0.001,0.001,0.00407115
90,-0.14,-0.42,-12.27,0.0,0.0,0.002,0.002,0.0081423
91,-0.14,-0.42,-12.27,0.0,0.0,0.0,0.0,0.0
92,-0.14,-0.42,-12.27,-0.001,0.0,0.0,0.001,0.00407115
93,-0.14,-0.42,-12.27,-0.002,0.0,0.0,0.002,0.0081423
94,-0.14,-0.42,-12.27,0.0,0.001,0.001,0.001414213562373095,0.0057574755444552254
95,-0.14,-0.42,-12.27,0.0,0.001,0.003,0.0031622776601683794,0.012874106696194498
